Code,Name,Category,Punishments,Applicable when
154,Owner allowing unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Permitting a riot on private land
155,Liability of person for whose benefit riot is committed,Criminal Laws,Imprisonment up to 6 months &/or fine,Benefiting from a paid riot
157,Harboring persons hired for unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Hiding rioters in your home
158,Being hired to take part in unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Acting as a paid rioter
159,Affray,Criminal Laws,Definition only,Fighting in public
160,Punishment for committing affray,Criminal Laws,Imprisonment up to 1 month &/or fine,Fighting publicly with one other person
161,Taking gratification as public servant,Criminal Laws,Imprisonment up to 3 years &/or fine,Accepting a bribe as a clerk
162,Taking gratification to influence public servant,Criminal Laws,Imprisonment up to 1 year &/or fine,Bribing an official’s friend
163,Taking gratification for exercise of personal influence,Criminal Laws,Imprisonment up to 1 year &/or fine,Paying to sway a judge’s decision
165A,Abetment of bribery,Criminal Laws,Imprisonment up to 3 years &/or fine,Helping arrange a bribe
171,Wearing garb of public servant,Criminal Laws,Imprisonment up to 6 months &/or fine,Dressing as a police officer to trick people
182,False information to public servant,Criminal Laws,Imprisonment up to 6 months &/or fine,Lying to police about a crime
186,Obstructing public servant,Criminal Laws,Imprisonment up to 3 months &/or fine,Blocking a tax officer’s work
187,Omission to assist public servant,Criminal Laws,Imprisonment up to 1 month &/or fine,Refusing to help police when asked
188,Disobedience to public order,Criminal Laws,Imprisonment up to 1 month &/or fine,Ignoring a curfew order
189,Threat of injury to public servant,Criminal Laws,Imprisonment up to 2 years &/or fine,Threatening a judge’s life
191,Giving false evidence,Criminal Laws,Imprisonment up to 7 years & fine,Lying under oath in court
193,Giving false evidence in judicial proceeding,Criminal Laws,Imprisonment up to 7 years & fine,Fabricating testimony in a trial
194,Giving false evidence to procure conviction,Criminal Laws,Life imprisonment or up to 10 years & fine,Lying to get someone hanged
195,Giving false evidence to procure conviction (lesser offense),Criminal Laws,Imprisonment up to 7 years & fine,Lying to jail someone
201,Causing disappearance of evidence,Criminal Laws,Imprisonment up to 7 years & fine,Hiding a murder weapon
202,Intentional omission to give information of offense,Criminal Laws,Imprisonment up to 6 months &/or fine,Not reporting a crime you saw
203,Giving false information respecting an offense,Criminal Laws,Imprisonment up to 2 years &/or fine,Lying about who committed a murder
204,Destruction of document to prevent its production,Criminal Laws,Imprisonment up to 2 years &/or fine,Burning a court summons
211,False charge with intent to injure,Criminal Laws,Imprisonment up to 2 years &/or fine,Filing a fake theft case
216,Harboring offender,Criminal Laws,Imprisonment up to 7 years & fine,Hiding a murderer from police
221,Intentional omission to apprehend,Criminal Laws,Imprisonment up to 7 years &/or fine,Police letting a criminal escape
225,Resistance to lawful apprehension,Criminal Laws,Imprisonment up to 2 years &/or fine,Pushing police to avoid arrest
225A,Escape from lawful custody,Criminal Laws,Imprisonment up to 7 years & fine,Breaking out of jail
231,Counterfeiting coin,Criminal Laws,Imprisonment up to 7 years & fine,Making fake coins
232,Counterfeiting Pakistan coin,Criminal Laws,Life imprisonment or up to 10 years & fine,Forging Pakistani rupees
235,Possessing counterfeiting instruments,Criminal Laws,Imprisonment up to 7 years & fine,Keeping tools to fake coins
241,Delivery of coin as genuine,Criminal Laws,Imprisonment up to 2 years &/or fine,Passing fake coins knowingly
247,Altering appearance of coin,Criminal Laws,Imprisonment up to 3 years &/or fine,Changing a coin to pass as another
263,Fraudulent use of false instrument,Criminal Laws,Imprisonment up to 1 year &/or fine,Using a fake scale to cheat
264,Fraudulent use of false weight or measure,Criminal Laws,Imprisonment up to 1 year &/or fine,Using a tampered meter to overcharge
268,Public nuisance,Criminal Laws,Fine up to PKR 200,Dumping garbage on a road
269,Negligent act likely to spread infection,Criminal Laws,Imprisonment up to 6 months &/or fine,Spreading disease by not isolating
270,Malignant act likely to spread infection,Criminal Laws,Imprisonment up to 2 years &/or fine,Deliberately spreading a plague
272,Adulteration of food or drink,Criminal Laws,Imprisonment up to 6 months &/or fine,Mixing water in milk for sale
273,Sale of noxious food or drink,Criminal Laws,Imprisonment up to 6 months &/or fine,Selling expired meat
274,Adulteration of drugs,Criminal Laws,Imprisonment up to 6 months &/or fine,Diluting medicine for profit
275,Sale of adulterated drugs,Criminal Laws,Imprisonment up to 6 months &/or fine,Selling fake pills
277,Fouling water of public spring,Criminal Laws,Imprisonment up to 3 months &/or fine,Dumping waste in a well
278,Making atmosphere noxious,Criminal Laws,Fine up to PKR 500,Burning toxic waste publicly
279,Rash driving or riding,Criminal Laws,Imprisonment up to 6 months &/or fine,Speeding recklessly on a road
283,Causing danger in public way,Criminal Laws,Fine up to PKR 200,Digging a hole in a street
284,Negligent conduct with poison,Criminal Laws,Imprisonment up to 6 months &/or fine,Leaving acid unattended
285,Negligent conduct with fire,Criminal Laws,Imprisonment up to 6 months &/or fine,Starting a fire carelessly
286,Negligent conduct with explosives,Criminal Laws,Imprisonment up to 6 months &/or fine,Storing bombs unsafely
287,Negligent conduct with machinery,Criminal Laws,Imprisonment up to 6 months &/or fine,Running a faulty machine
290,Punishment for public nuisance,Criminal Laws,Fine up to PKR 200,Creating loud noise at night
291,Continuance of nuisance after injunction,Criminal Laws,Imprisonment up to 6 months &/or fine,Ignoring a court order to stop noise
292,Sale of obscene books,Criminal Laws,Imprisonment up to 3 months &/or fine,Selling pornographic magazines
293,Sale of obscene objects to young person,Criminal Laws,Imprisonment up to 6 months &/or fine,Giving adult content to a minor
294,Obscene acts and songs,Criminal Laws,Imprisonment up to 3 months &/or fine,Performing vulgar dances publicly
294A,Keeping lottery office,Criminal Laws,Imprisonment up to 6 months &/or fine,Running an illegal gambling den
295,Injuring place of worship,Criminal Laws,Imprisonment up to 2 years & fine,Damaging a mosque’s walls
295A,Outraging religious feelings,Criminal Laws,Imprisonment up to 10 years & fine,Insulting a religion deliberately
295B,Defiling the Holy Quran,Criminal Laws,Life imprisonment,Desecrating the Quran
295C,Use of derogatory remarks about the Prophet,Criminal Laws,Death or life imprisonment & fine,Blasphemy against the Prophet
298,Uttering words to wound religious feelings,Criminal Laws,Imprisonment up to 1 year &/or fine,Mocking a religious ritual
298A,Insulting religious figures,Criminal Laws,Imprisonment up to 3 years & fine,Speaking against a saint
298B,Misuse of Ahmadi epithets,Criminal Laws,Imprisonment up to 3 years & fine,Ahmadi using Islamic titles
298C,Ahmadi preaching,Criminal Laws,Imprisonment up to 3 years & fine,Ahmadi calling to prayer
300,Qatl-e-Amd (Intentional Murder),Criminal Laws,Death or life imprisonment & fine (per 302),Killing with intent like shooting a rival
302,Punishment for Qatl-e-Amd,Criminal Laws,Death or life imprisonment,Executing a premeditated murder
303,Qatl under duress,Criminal Laws,Imprisonment up to 7 years,Killing under threat like at gunpoint
304,Proof of Qatl-e-Amd,Criminal Laws,Death or life imprisonment (per 302),Proving intentional murder in court
305,Abetment of suicide of child or insane person,Criminal Laws,Death or life imprisonment & fine,Forcing a minor to kill themselves
306,Qatl-e-Amd not liable to Qisas,Criminal Laws,Imprisonment up to 14 years,Killing in self-defense
308,Punishment in Qatl-e-Amd not liable to Qisas,Criminal Laws,Imprisonment up to 14 years or diyat,Murder not qualifying for retribution
309,Waiver of Qisas in Qatl-e-Amd,Criminal Laws,No punishment if waived,Forgiving a murderer by family
310,Compounding of Qisas in Qatl-e-Amd,Criminal Laws,No punishment if compounded,Settling murder with compensation
311,Tazir after waiver,Criminal Laws,Imprisonment up to 10 years,Killing again after forgiveness
312,Qatl-e-Amd after waiver or compounding,Criminal Laws,Imprisonment up to 14 years,Murder post-settlement
315,Qatl Shibh-e-Amd (Semi-intentional murder),Criminal Laws,Imprisonment up to 10 years or diyat,Hitting with intent to harm causing death
316,Punishment for Qatl Shibh-e-Amd,Criminal Laws,Imprisonment up to 10 years or diyat,Beating someone who later dies
318,Qatl-e-Khata (Manslaughter),Criminal Laws,Diyat or imprisonment up to 5 years,Accidentally killing a pedestrian
319,Punishment for Qatl-e-Khata,Criminal Laws,Diyat or imprisonment up to 5 years,Dropping an object killing someone
321,Qatl-bis-Sabab (Indirect killing),Criminal Laws,Diyat,Locking someone causing suffocation
322,Punishment for Qatl-bis-Sabab,Criminal Laws,Diyat or imprisonment up to 10 years,Indirectly causing death
324,Attempt to commit Qatl-e-Amd,Criminal Laws,Imprisonment up to 10 years,Attempting murder with poison
325,Attempt to commit suicide,Criminal Laws,Imprisonment up to 1 year &/or fine,Trying to jump off a building
334,Voluntarily causing hurt on provocation,Criminal Laws,Imprisonment up to 1 year &/or fine,Hitting someone after they insult you
335,Itlaf-i-udw (Permanent hurt),Criminal Laws,Imprisonment up to 10 years or diyat,Breaking someone’s leg permanently
337,Shajjah (Head injury),Criminal Laws,Varies (up to 7 years or diyat),Causing a skull fracture
337A,Shajjah-i-Khafifa,Criminal Laws,Diyat or imprisonment up to 2 years,Minor head injury
337D,Jaifah (Deep wound),Criminal Laws,Diyat or imprisonment up to 5 years,Stabbing causing internal injury
337F,Ghayr-jaifah (Other hurt),Criminal Laws,Diyat or imprisonment up to 5 years,Cutting a finger
337G,Rash or negligent hurt,Criminal Laws,Imprisonment up to 2 years &/or fine,Hitting someone with a car
337H,Rash or negligent act causing hurt,Criminal Laws,Imprisonment up to 1 year or diyat,Recklessly injuring someone
341,Wrongful restraint,Criminal Laws,Imprisonment up to 1 month &/or fine,Blocking someone’s path
342,Wrongful confinement,Criminal Laws,Imprisonment up to 1 year &/or fine,Locking someone in a room
343,Wrongful confinement for 3+ days,Criminal Laws,Imprisonment up to 2 years &/or fine,Keeping someone captive for days
344,Wrongful confinement for 10+ days,Criminal Laws,Imprisonment up to 3 years & fine,Confining someone for weeks
347,Wrongful confinement to extort property,Criminal Laws,Imprisonment up to 7 years & fine,Locking someone to get ransom
348,Wrongful confinement to extort confession,Criminal Laws,Imprisonment up to 7 years & fine,Confining to force a confession
352,Punishment for assault,Criminal Laws,Imprisonment up to 3 months &/or fine,Throwing a stone at someone
353,Assault to deter public servant,Criminal Laws,Imprisonment up to 3 years &/or fine,Pushing a tax officer
354,Assault to outrage modesty of woman,Criminal Laws,Imprisonment up to 2 years & fine,Molesting a woman on the street
355,Assault with intent to dishonor,Criminal Laws,Imprisonment up to 2 years &/or fine,Slapping someone publicly
356,Assault in attempt to commit theft,Criminal Laws,Imprisonment up to 7 years &/or fine,Hitting a shopkeeper to steal
357,Assault in attempt to wrongfully confine,Criminal Laws,Imprisonment up to 1 year &/or fine,Locking someone against their will
358,Assault or criminal force,Criminal Laws,Imprisonment up to 3 months &/or fine,Pushing someone in anger
359,Kidnapping,Criminal Laws,Definition only,Taking someone unlawfully
360,Kidnapping from Pakistan,Criminal Laws,Imprisonment up to 7 years & fine,Smuggling someone out of Pakistan
361,Kidnapping from lawful guardianship,Criminal Laws,Imprisonment up to 7 years & fine,Abducting a child from parents
362,Abduction,Criminal Laws,Definition only,Forcing someone to move
363,Punishment for kidnapping,Criminal Laws,Imprisonment up to 7 years & fine,Taking someone by force
364,Kidnapping or abducting with intent to murder,Criminal Laws,Imprisonment up to 10 years & fine,Abducting to kill later
365,Kidnapping or abducting to secretly confine,Criminal Laws,Imprisonment up to 7 years & fine,Hiding a kidnapped person
366,Kidnapping to compel marriage,Criminal Laws,Imprisonment up to 7 years & fine,Forcing a woman into marriage
367,Kidnapping to subject to grievous hurt,Criminal Laws,Imprisonment up to 10 years & fine,Taking someone to torture
369,Kidnapping child under 10,Criminal Laws,Imprisonment up to 7 years & fine,Stealing a child from a park
368,Wrongfully concealing kidnapped person,Criminal Laws,Imprisonment up to 7 years & fine,Hiding a kidnapped victim
370,Buying or selling person for slavery,Criminal Laws,Imprisonment up to 7 years & fine,Trafficking humans
371,Habitual dealing in slaves,Criminal Laws,Life imprisonment or up to 10 years & fine,Running a slavery ring
374,Unlawful compulsory labor,Criminal Laws,Imprisonment up to 1 year &/or fine,Forcing someone to work
376,Rape,Criminal Laws,Death or life imprisonment & fine,Forcing sexual intercourse
377,Unnatural offenses,Criminal Laws,Imprisonment up to 10 years & fine,Engaging in sodomy
379,Punishment for theft,Criminal Laws,Imprisonment up to 7 years &/or fine,Stealing a phone
380,Theft in dwelling house,Criminal Laws,Imprisonment up to 7 years &/or fine,Breaking into a home to steal
381,Theft by clerk or servant,Criminal Laws,Imprisonment up to 7 years &/or fine,Stealing from an employer
382,Theft after preparation,Criminal Laws,Imprisonment up to 7 years &/or fine,Stealing after planning
384,Extortion,Criminal Laws,Imprisonment up to 3 years &/or fine,Threatening to leak photos
385,Putting person in fear of injury for extortion,Criminal Laws,Imprisonment up to 2 years &/or fine,Threatening to beat someone
386,Extortion by fear of death or grievous hurt,Criminal Laws,Imprisonment up to 10 years &/or fine,Threatening to kill for ransom
387,Putting person in fear of death for extortion,Criminal Laws,Imprisonment up to 7 years &/or fine,Threatening to shoot for money
388,Extortion by threat of accusation,Criminal Laws,Imprisonment up to 2 years &/or fine,Blackmailing with false charges
389,Putting person in fear of accusation,Criminal Laws,Imprisonment up to 10 years &/or fine,Threatening to accuse of murder
390,Robbery,Criminal Laws,Definition only,Theft with violence
391,Dacoity,Criminal Laws,Definition only,Robbery by 5+ persons
392,Punishment for robbery,Criminal Laws,Imprisonment up to 10 years &/or fine,Robbing at knifepoint
393,Attempt to commit robbery,Criminal Laws,Imprisonment up to 7 years &/or fine,Trying to rob but failing
394,Voluntarily causing hurt in robbery,Criminal Laws,Life imprisonment or up to 10 years & fine,Hurting someone during robbery
395,Punishment for dacoity,Criminal Laws,Life imprisonment or up to 10 years & fine,Gang robbery with 5+ people
396,Dacoity with murder,Criminal Laws,Death or life imprisonment & fine,Killing during a gang robbery
397,Robbery or dacoity with attempt to cause death,Criminal Laws,Imprisonment not less than 7 years,Shooting during a robbery
398,Attempt to commit armed robbery,Criminal Laws,Imprisonment up to 7 years,Planning robbery with a gun
399,Making preparation to commit dacoity,Criminal Laws,Imprisonment up to 10 years & fine,Gathering weapons for dacoity
400,Belonging to gang of dacoits,Criminal Laws,Life imprisonment or up to 10 years & fine,Joining a robbery gang
401,Belonging to gang of thieves,Criminal Laws,Imprisonment up to 7 years & fine,Part of a theft ring
402,Assembling to commit dacoity,Criminal Laws,Imprisonment up to 7 years & fine,Meeting to plan a gang robbery
403,Dishonest misappropriation of property,Criminal Laws,Imprisonment up to 2 years &/or fine,Using someone’s money personally
404,Misappropriation of deceased’s property,Criminal Laws,Imprisonment up to 7 years &/or fine,Stealing a dead person’s jewelry
405,Criminal breach of trust,Criminal Laws,Definition only,Misusing entrusted property
406,Punishment for criminal breach of trust,Criminal Laws,Imprisonment up to 7 years &/or fine,Embezzling company funds
407,Criminal breach of trust by carrier,Criminal Laws,Imprisonment up to 7 years & fine,Stealing goods during transport
408,Criminal breach of trust by clerk,Criminal Laws,Imprisonment up to 7 years & fine,Stealing from employer’s cash
409,Criminal breach of trust by public servant,Criminal Laws,Life imprisonment or up to 10 years & fine,Public officer embezzling funds
410,Stolen property,Criminal Laws,Definition only,Property from theft
411,Dishonestly receiving stolen property,Criminal Laws,Imprisonment up to 3 years &/or fine,Buying a stolen phone
412,Receiving property from dacoity,Criminal Laws,Life imprisonment or up to 10 years & fine,Fencing goods from gang robbery
413,Habitually dealing in stolen property,Criminal Laws,Life imprisonment or up to 10 years & fine,Running a stolen goods market
414,Assisting in concealment of stolen property,Criminal Laws,Imprisonment up to 3 years &/or fine,Hiding stolen items for a thief
415,Cheating,Criminal Laws,Definition only,Deceiving for gain
416,Cheating by personation,Criminal Laws,Imprisonment up to 7 years &/or fine,Pretending to be a bank official
417,Punishment for cheating,Criminal Laws,Imprisonment up to 1 year &/or fine,Selling a fake product
418,Cheating causing wrongful loss,Criminal Laws,Imprisonment up to 3 years &/or fine,Tricking someone into a bad deal
419,Cheating by personation punishment,Criminal Laws,Imprisonment up to 7 years &/or fine,Impersonating a doctor for fees
420,Cheating and dishonestly inducing delivery,Criminal Laws,Imprisonment up to 7 years & fine,Scamming someone to hand over cash
421,Fraudulent removal of property,Criminal Laws,Imprisonment up to 2 years &/or fine,Hiding assets to avoid debt
422,Fraudulent prevention of property distribution,Criminal Laws,Imprisonment up to 2 years &/or fine,Blocking inheritance
423,Fraudulent execution of deed,Criminal Laws,Imprisonment up to 2 years &/or fine,Faking a property sale deed
424,Fraudulent removal of property,Criminal Laws,Imprisonment up to 2 years &/or fine,Stealing business equipment
425,Mischief,Criminal Laws,Definition only,Causing wrongful damage
426,Punishment for mischief,Criminal Laws,Imprisonment up to 3 months &/or fine,Breaking a window for fun
427,Mischief causing damage,Criminal Laws,Imprisonment up to 2 years &/or fine,Damaging a car worth PKR 50
428,Mischief by killing animal,Criminal Laws,Imprisonment up to 2 years &/or fine,Killing a neighbor’s dog
429,Mischief by maiming cattle,Criminal Laws,Imprisonment up to 5 years &/or fine,Poisoning a farmer’s cow
430,Mischief to irrigation work,Criminal Laws,Imprisonment up to 5 years &/or fine,Damaging a canal
431,Mischief to public road,Criminal Laws,Imprisonment up to 5 years &/or fine,Breaking a bridge
435,Mischief by fire causing damage,Criminal Laws,Imprisonment up to 7 years &/or fine,Setting a shop on fire
436,Mischief by fire to destroy house,Criminal Laws,Life imprisonment or up to 10 years & fine,Burning a home intentionally
440,Mischief committed after preparation,Criminal Laws,Imprisonment up to 5 years &/or fine,Planning to destroy property
441,Criminal trespass,Criminal Laws,Imprisonment up to 3 months &/or fine,Entering a garden uninvited
442,House trespass,Criminal Laws,Definition only,Entering a house unlawfully
447,Punishment for criminal trespass,Criminal Laws,Imprisonment up to 3 months &/or fine,Walking into a private house
448,Punishment for house trespass,Criminal Laws,Imprisonment up to 1 year &/or fine,Breaking into a home
449,House trespass to commit offense,Criminal Laws,Life imprisonment or up to 10 years & fine,Entering to murder
452,House trespass after preparation for hurt,Criminal Laws,Imprisonment up to 7 years & fine,Entering with a knife to attack
453,Lurking house trespass,Criminal Laws,Imprisonment up to 2 years & fine,Sneaking into a house at night
454,Lurking house trespass to commit offense,Criminal Laws,Imprisonment up to 3 years & fine,Sneaking in to steal
455,Lurking house trespass causing hurt,Criminal Laws,Imprisonment up to 10 years & fine,Hurting someone while sneaking in
457,Lurking house trespass by night,Criminal Laws,Imprisonment up to 5 years & fine,Breaking in at night to steal
458,Lurking house trespass by night causing hurt,Criminal Laws,Imprisonment up to 14 years & fine,Attacking during night break-in
460,Joint liability in house-breaking,Criminal Laws,Life imprisonment or up to 10 years & fine,Gang breaking into a house
461,Dishonestly breaking open receptacle,Criminal Laws,Imprisonment up to 2 years &/or fine,Cracking a safe to steal
462,Punishment for same by public servant,Criminal Laws,Imprisonment up to 3 years &/or fine,Officer breaking a safe
463,Forgery,Criminal Laws,Definition only,Making a false document
465,Punishment for forgery,Criminal Laws,Imprisonment up to 7 years &/or fine,Forging a signature
466,Forgery of court record,Criminal Laws,Imprisonment up to 7 years & fine,Faking a court order
467,Forgery of valuable security,Criminal Laws,Life imprisonment or up to 10 years & fine,Forging a will
468,Forgery for cheating,Criminal Laws,Imprisonment up to 7 years & fine,Forging a cheque
469,Forgery to harm reputation,Criminal Laws,Imprisonment up to 3 years &/or fine,Faking a defamatory letter
471,Using forged document as genuine,Criminal Laws,Imprisonment up to 7 years &/or fine,Submitting a fake degree
477,Fraudulent cancellation of will,Criminal Laws,Life imprisonment or up to 7 years & fine,Destroying a legal document
477A,Falsification of accounts,Criminal Laws,Imprisonment up to 7 years &/or fine,Cooking company books
489A,Counterfeiting currency notes,Criminal Laws,Life imprisonment or up to 10 years & fine,Printing fake PKR notes
489B,Using counterfeit currency,Criminal Laws,Imprisonment up to 7 years & fine,Spending fake money
489C,Possessing counterfeit currency,Criminal Laws,Imprisonment up to 7 years & fine,Holding fake notes
489D,Making counterfeiting instruments,Criminal Laws,Imprisonment up to 7 years & fine,Creating tools to fake money
489E,Using currency as genuine,Criminal Laws,Imprisonment up to 7 years & fine,Passing counterfeit notes
489F,Dishonestly issuing cheque,Criminal Laws,Imprisonment up to 3 years &/or fine,Writing a bad cheque
491,Breach of contract to attend helpless person,Criminal Laws,Imprisonment up to 3 months &/or fine,Abandoning a sick patient
492,Breach of contract to serve,Criminal Laws,Fine up to PKR 200,Leaving a job without notice
493,Cohabitation by deceitful marriage,Criminal Laws,Imprisonment up to 10 years & fine,Faking a marriage for sex
494,Marrying again during spouse’s lifetime,Criminal Laws,Imprisonment up to 7 years & fine,Committing bigamy
495,Same with concealment,Criminal Laws,Imprisonment up to 10 years & fine,Hiding first marriage
496,Fraudulent marriage ceremony,Criminal Laws,Imprisonment up to 7 years & fine,Faking a wedding
496A,Enticing married woman,Criminal Laws,Imprisonment up to 5 years & fine,Abducting a wife
497,Adultery,Criminal Laws,Imprisonment up to 5 years & fine,Sex with another’s spouse
498,Enticing woman to illicit intercourse,Criminal Laws,Imprisonment up to 2 years &/or fine,Luring a woman deceitfully
499,Defamation,Criminal Laws,Definition only,Harming reputation
500,Punishment for defamation,Criminal Laws,Imprisonment up to 2 years &/or fine,Publishing a false story
501,Printing defamatory matter,Criminal Laws,Imprisonment up to 2 years &/or fine,Printing a libelous article
502,Sale of defamatory matter,Criminal Laws,Imprisonment up to 2 years &/or fine,Selling a defamatory book
503,Criminal intimidation,Criminal Laws,Definition only,Threatening harm
504,Intentional insult to provoke breach of peace,Criminal Laws,Imprisonment up to 2 years &/or fine,Shouting insults publicly
506,Punishment for criminal intimidation,Criminal Laws,Imprisonment up to 2 years &/or fine (7 years if death threat),Threatening to burn a house
507,Criminal intimidation by anonymous communication,Criminal Laws,Imprisonment up to 2 years,Sending a threat letter
509,Insulting modesty of woman,Criminal Laws,Imprisonment up to 1 year &/or fine,Making lewd comments to a woman
510,Misconduct in public by drunken person,Criminal Laws,Imprisonment up to 24 hours &/or fine,Being drunk and disorderly
511,Attempting to commit offenses,Criminal Laws,Up to half the punishment of offense,Attempting to pick a pocket
1301,Conduct of General Elections Order,Election Laws,Fine or imprisonment up to 2 years,Violating election rules like campaigning inside a polling station
1302,Delimitation of Constituencies Act,Election Laws,Fine or imprisonment up to 3 years,Manipulating constituency boundaries like redrawing maps to favor a party
1303,Election Commission Act,Election Laws,Fine or imprisonment up to 2 years,Disobeying Election Commission orders like refusing to update voter lists
1304,Election Rules,Election Laws,Fine or imprisonment up to 2 years,Breaking polling rules like bringing weapons to a voting booth
1305,Electoral Rolls Act,Election Laws,Fine or imprisonment up to 1 year,Tampering with voter lists like adding fake names to increase votes
1306,Local Government Elections Act,Election Laws,Fine or imprisonment up to 2 years,Rigging local elections like stuffing ballot boxes in a village
1307,Political Parties Order,Election Laws,Fine or imprisonment up to 3 years,Violating party registration rules like using foreign funds for campaigns
1308,Representation of the People Act,Election Laws,Fine or imprisonment up to 5 years,Committing electoral fraud like bribing voters to cast ballots
1309,Elections Act 2017 - False statement,Election Laws,Imprisonment up to 6 months &/or fine,Making false claims about a candidate like lying about their criminal record (Section 182)
1310,Elections Act 2017 - Illegal election expenses,Election Laws,Imprisonment up to 5 years &/or fine,Exceeding campaign spending limits like spending beyond PKR 4 million (Section 183)
1311,Elections Act 2017 - Impersonation at polling,Election Laws,Imprisonment up to 3 years &/or fine,Voting as someone else like using a fake CNIC (Section 169)
1312,Elections Act 2017 - Undue influence,Election Laws,Imprisonment up to 2 years &/or fine,Threatening voters to vote a certain way like intimidating at a polling station (Section 170)
1313,Elections Act 2017 - Contempt of ECP,Election Laws,Imprisonment up to 6 months &/or fine,Insulting the ECP like disrupting its proceedings (Section 10)
1314,Senate (Election) Act 1975 - Corrupt practices,Election Laws,Imprisonment up to 3 years &/or fine,Bribing Senate voters like offering money to electors
1315,Punjab Local Government Act 2019 - Electoral fraud,Election Laws,Imprisonment up to 3 years &/or fine,Rigging a union council election like forging votes
1316,Sindh Local Government Act 2013 - Misconduct,Election Laws,Imprisonment up to 2 years &/or fine,Disrupting local polls like attacking a polling station
1317,Elections Act 2017 - Capturing polling booth,Election Laws,Imprisonment up to 2 years &/or fine,Taking over a polling station by force like locking staff out
1318,Elections Act 2017 - Interference with electoral material,Election Laws,Imprisonment up to 2 years &/or fine,Stealing ballot boxes or tampering with results like altering vote counts
1319,Elections Act 2017 - Refusal to perform election duty,Election Laws,Imprisonment up to 1 year &/or fine,Public servant refusing polling duty like a teacher skipping assignment
1320,Elections Act 2017 - Breach of official duty,Election Laws,Imprisonment up to 2 years &/or fine,Election officer rigging votes like marking ballots illegally
1321,Elections Act 2017 - Assistance by public servant to candidate,Election Laws,Imprisonment up to 2 years &/or fine,Government official campaigning for a candidate like a police officer distributing flyers
1322,Elections Act 2017 - Illegal hiring of public transport,Election Laws,Imprisonment up to 1 year &/or fine,Using government buses to ferry voters illegally
1323,Elections Act 2017 - Failure to maintain secrecy of vote,Election Laws,Imprisonment up to 6 months &/or fine,Revealing a voter’s choice like an official announcing who someone voted for
1324,Election Code of Conduct Violation (ECP Rules),Election Laws,Fine up to PKR 50000 or disqualification,Violating ECP code like using loudspeakers beyond allowed hours
1325,National Assembly and Provincial Assemblies Allocation of Symbols Order 2002,Election Laws,Fine up to PKR 10000 or imprisonment up to 6 months,Misusing election symbols like printing fake ballots with a rival’s symbol
1326,Punjab Local Government (Election) Rules 2013 - False nomination,Election Laws,Imprisonment up to 1 year &/or fine,Submitting a fake nomination paper like forging signatures in Punjab
1327,Sindh Local Government (Election) Rules 2015 - Illegal canvassing,Election Laws,Imprisonment up to 1 year &/or fine,Canvassing during silence period like distributing pamphlets in Sindh
